,carat,cut,color,clarity,depth,table,price,volume
0,0.23,4,1,1,61.5,55.0,326.0,38.20203
1,0.21,3,1,1,59.8,61.0,326.0,34.505856
3,0.29,3,0,2,62.4,58.0,334.0,46.72458
4,0.31,1,0,1,63.3,58.0,335.0,51.917249999999996
5,0.24,2,0,3,62.8,57.0,336.0,38.693951999999996
6,0.24,2,0,3,62.3,57.0,336.0,38.830870000000004
7,0.26,2,0,1,61.9,55.0,337.0,42.321081
9,0.23,2,0,2,59.4,61.0,338.0,38.718
10,0.3,1,0,1,64.0,55.0,339.0,49.6587
11,0.23,4,0,2,62.8,56.0,340.0,37.70442
12,0.22,3,1,1,60.4,61.0,342.0,34.715136
13,0.31,4,0,1,62.2,54.0,344.0,51.515744999999995
14,0.2,3,1,1,60.2,62.0,345.0,32.262375
15,0.32,3,1,1,60.9,58.0,345.0,51.883728000000005
16,0.3,4,0,1,62.0,54.0,348.0,50.130472
17,0.3,1,0,1,63.4,54.0,351.0,48.99609000000001
18,0.3,1,0,1,63.8,56.0,351.0,48.833658
19,0.3,2,0,1,62.7,59.0,351.0,47.818022
20,0.3,1,0,1,63.3,56.0,351.0,49.64177999999999
21,0.23,2,1,2,63.8,55.0,352.0,37.42816
22,0.23,2,0,2,61.0,57.0,353.0,37.601784
23,0.31,2,0,1,59.4,62.0,353.0,50.952974
25,0.23,2,0,3,60.4,58.0,354.0,38.366477
26,0.24,3,0,2,62.5,57.0,355.0,38.635246
27,0.3,2,0,2,62.2,57.0,357.0,49.13868
28,0.23,2,1,2,60.5,61.0,357.0,37.73088
29,0.23,2,1,2,60.9,57.0,357.0,38.236968000000005
30,0.23,2,1,2,60.0,57.0,402.0,38.8492
31,0.23,2,1,2,59.8,57.0,402.0,39.693808
32,0.23,2,1,2,60.7,59.0,402.0,38.525674
33,0.23,2,1,2,59.5,58.0,402.0,39.07343999999999
34,0.23,2,1,2,61.9,58.0,402.0,37.876608
36,0.23,1,1,2,64.1,59.0,402.0,36.27393
37,0.31,1,0,1,64.0,54.0,402.0,50.847224999999995
38,0.26,2,1,2,60.8,59.0,403.0,43.295616
39,0.33,4,0,1,61.8,55.0,403.0,56.294722
40,0.33,4,0,1,61.2,56.0,403.0,55.563750000000006
41,0.33,4,0,1,61.1,56.0,403.0,56.385419999999996
44,0.32,1,0,1,63.1,56.0,403.0,52.155950000000004
45,0.29,3,1,1,62.4,58.0,403.0,47.865359999999995
46,0.32,2,0,1,61.8,55.0,403.0,52.105169999999994
47,0.32,1,0,1,63.8,56.0,403.0,53.280072000000004
48,0.25,2,1,2,63.3,60.0,404.0,40.9448
49,0.29,2,0,1,60.7,60.0,404.0,49.954344000000006
50,0.24,2,1,1,60.9,61.0,404.0,39.691469999999995
51,0.23,4,0,2,61.9,54.0,404.0,37.877340000000004
52,0.32,4,0,1,60.9,55.0,404.0,54.225920000000016
53,0.22,3,1,2,61.6,58.0,404.0,36.843357000000005
54,0.22,3,1,2,59.3,62.0,404.0,35.044548
55,0.3,4,0,1,61.0,59.0,405.0,48.967969999999994
56,0.3,3,0,1,59.3,61.0,405.0,50.64287399999999
57,0.3,2,0,1,62.6,57.0,405.0,48.5673
58,0.3,2,0,1,63.0,57.0,405.0,50.10681600000001
59,0.3,1,0,1,63.2,55.0,405.0,49.22775000000001
60,0.35,4,0,2,60.9,57.0,552.0,57.931307999999994
61,0.3,3,1,1,62.6,59.0,552.0,48.04518600000001
62,0.3,4,1,1,62.5,57.0,552.0,49.853232000000006
63,0.3,4,1,1,62.1,56.0,552.0,49.898920000000004
64,0.42,3,0,1,61.5,59.0,552.0,68.480192
65,0.28,4,0,3,61.4,56.0,553.0,45.619044
66,0.32,4,0,3,62.0,55.3,553.0,52.97237399999999
67,0.31,2,0,1,63.3,57.0,553.0,50.82987
68,0.31,3,0,1,61.8,58.0,553.0,50.362559999999995
69,0.24,3,1,3,60.7,58.0,553.0,39.431132
70,0.24,2,1,3,61.5,60.0,553.0,38.906000000000006
71,0.3,2,0,1,63.1,56.0,554.0,49.45941
72,0.3,3,0,1,62.9,59.0,554.0,48.634496000000006
73,0.3,3,0,1,62.5,57.0,554.0,48.680775000000004
74,0.3,1,0,1,63.7,57.0,554.0,49.593216000000005
75,0.26,2,1,3,59.2,60.0,554.0,44.027682
76,0.26,2,1,3,59.9,58.0,554.0,44.06179500000001
77,0.26,2,1,3,62.4,54.0,554.0,43.137024000000004
78,0.26,2,1,3,62.8,60.0,554.0,41.08846499999999
79,0.26,2,1,3,62.6,59.0,554.0,42.34377
80,0.26,2,1,3,63.4,59.0,554.0,41.208
81,0.26,2,1,3,62.1,60.0,554.0,42.007107999999995
82,0.26,4,1,3,62.9,58.0,554.0,41.455847999999996
83,0.38,4,0,1,61.6,56.0,554.0,62.32348500000001
85,0.24,3,0,3,62.3,59.0,554.0,37.9358
86,0.24,3,0,3,61.2,58.0,554.0,38.746224
87,0.24,3,0,3,60.8,59.0,554.0,39.23519999999999
88,0.24,3,0,3,60.7,58.0,554.0,40.449288
89,0.32,3,0,1,62.9,58.0,554.0,51.420915
90,0.7,4,1,1,62.5,57.0,2757.0,116.39627999999999
92,0.7,4,0,2,61.6,56.0,2757.0,113.1165
93,0.71,2,1,2,62.4,57.0,2759.0,115.865184
94,0.78,2,0,1,63.8,56.0,2759.0,126.43721999999998
96,0.7,1,1,2,59.4,62.0,2759.0,111.82464
98,0.73,2,1,1,61.6,59.0,2760.0,118.728136
99,0.8,3,0,1,61.5,58.0,2760.0,129.571686
100,0.75,2,1,1,63.2,56.0,2760.0,121.7275
101,0.75,3,1,1,59.9,54.0,2760.0,128.0208
102,0.74,4,0,1,61.6,55.0,2760.0,121.80869999999999
103,0.75,3,0,2,61.7,58.0,2760.0,121.59868499999999
104,0.8,4,0,2,62.9,56.0,2760.0,129.70821600000002
105,0.75,4,0,1,62.2,55.0,2760.0,123.58698
106,0.8,3,0,1,63.0,59.0,2760.0,126.48950999999998
107,0.74,4,0,3,62.3,55.0,2761.0,121.02055699999998
108,0.81,4,1,1,58.8,57.0,2761.0,135.05544
109,0.59,4,1,3,62.0,55.0,2761.0,97.86488999999999
110,0.8,4,1,1,61.4,57.0,2761.0,131.23919999999998
111,0.74,4,1,1,62.2,56.0,2761.0,122.61664
112,0.9,3,0,2,63.0,58.0,2761.0,145.89590400000003
113,0.74,2,0,1,62.2,59.0,2762.0,119.72147400000001
114,0.73,4,1,2,62.6,56.0,2762.0,119.23128
115,0.73,4,1,2,62.7,53.0,2762.0,120.727
116,0.8,3,1,1,61.7,58.0,2762.0,130.71801600000003
117,0.71,4,0,2,62.4,54.0,2762.0,117.95097599999998
118,0.7,4,1,2,60.7,58.0,2762.0,115.18675200000001
119,0.8,4,1,1,59.9,59.0,2762.0,132.060134
120,0.71,4,1,1,62.3,56.0,2762.0,116.06917200000001
121,0.74,4,1,1,62.3,54.0,2762.0,122.40668000000001
122,0.7,2,1,2,61.7,63.0,2762.0,109.79218800000001
123,0.7,0,1,2,64.5,57.0,2762.0,110.27151800000001
125,0.7,3,1,2,61.6,60.0,2762.0,109.27891
126,0.91,3,0,1,61.4,56.0,2763.0,134.52201
127,0.61,2,1,3,59.6,57.0,2763.0,103.00233599999999
128,0.91,0,0,1,64.4,57.0,2763.0,146.234907
130,0.77,4,0,2,62.0,56.0,2763.0,125.636056
131,0.71,2,1,1,63.6,58.0,2764.0,115.32672
132,0.71,4,1,1,61.9,59.0,2764.0,114.89020399999998
133,0.7,2,1,2,62.6,60.0,2765.0,112.08809000000001
134,0.77,2,0,2,61.3,60.0,2765.0,125.23812
135,0.63,3,1,3,60.9,60.0,2765.0,103.24331999999998
136,0.71,2,1,2,60.1,62.0,2765.0,114.59450799999999
137,0.71,3,1,2,61.8,59.0,2765.0,115.09106100000001
138,0.76,4,0,1,61.2,57.0,2765.0,125.45038799999999
139,0.64,4,0,3,61.9,56.0,2766.0,105.46152400000001
140,0.71,3,0,2,60.9,57.0,2766.0,116.65485
141,0.71,3,0,2,59.8,56.0,2766.0,119.77314999999997
142,0.7,2,1,2,61.8,55.0,2767.0,114.36339199999999
